keyword,avg_monthly_searches,competition,competition_index,top_bid_low_eur,top_bid_high_eur,theme_heuristic,entity_heuristic,intent_heuristic,travel_relevance_0_3,monetization_potential_0_3,owner_suggestion,classification_note
e sim svizzera,5000,Alta,0,0.98,4.64,destination,Svizzera,commercial,3,3,/esim-svizzera,Heuristic classification for prioritization; not a page-creation decision.
esim usa,5000,Alta,0,1.08,4.57,destination,USA,commercial,3,3,/esim-usa,Heuristic classification for prioritization; not a page-creation decision.
esim turchia,5000,Alta,0,0.96,4.19,destination,Turchia,commercial,3,3,/esim-turchia,Heuristic classification for prioritization; not a page-creation decision.
esim stati uniti,5000,Alta,0,0.93,4.02,destination,USA,commercial,3,3,/esim-usa,Heuristic classification for prioritization; not a page-creation decision.
esim giappone,5000,Alta,0,0.7,3.96,destination,Giappone,commercial,3,3,/esim-giappone,Heuristic classification for prioritization; not a page-creation decision.
esim airalo,5000,Alta,0,0.75,3.78,provider,Airalo,commercial,3,3,,Heuristic classification for prioritization; not a page-creation decision.
esim albania,5000,Alta,0,1.12,3.77,destination,Albania,commercial,3,3,/esim-albania,Heuristic classification for prioritization; not a page-creation decision.
esim thailandia,5000,Alta,0,0.73,3.61,destination,Thailandia,commercial,3,3,/esim-thailandia,Heuristic classification for prioritization; not a page-creation decision.
migliore esim,5000,Alta,0,0.85,3.36,comparison,,commercial,2,3,/migliore-esim,Heuristic classification for prioritization; not a page-creation decision.
migliori esim,5000,Alta,0,0.85,3.36,comparison,,commercial,2,3,/migliore-esim,Heuristic classification for prioritization; not a page-creation decision.
holafly codice sconto,5000,Alta,0,1.0,3.22,provider,Holafly,transactional,3,3,/codice-sconto-holafly,Heuristic classification for prioritization; not a page-creation decision.
codice sconto holafly,5000,Alta,0,1.05,3.2,provider,Holafly,transactional,3,3,/codice-sconto-holafly,Heuristic classification for prioritization; not a page-creation decision.
e sim egitto,5000,Alta,0,0.78,3.11,destination,Egitto,commercial,3,3,/esim-egitto,Heuristic classification for prioritization; not a page-creation decision.
esim egitto,5000,Alta,0,0.78,3.11,destination,Egitto,commercial,3,3,/esim-egitto,Heuristic classification for prioritization; not a page-creation decision.
