source_url,competing_url,overlapping_query,risk,designated_owner,supporting_role,resolution,evidence_source,evidence_date
"/","/migliore-esim","eSIM da viaggio; migliore eSIM per viaggiare","high","/ for eSIM viaggio umbrella; /migliore-esim for migliore esim","Homepage routes users to the decision page.","Keep homepage broad and navigational; reserve best/migliore language and decision framework for /migliore-esim.","current title and Keyword Planner page-map","2026-07-27"
"/","/esim-estero","eSIM da viaggio; eSIM per l'estero","high","/ for eSIM viaggio umbrella; /esim-estero for esim estero","Homepage introduces travel connectivity and links to the planning guide.","Keep itinerary and local/regional/global choice on /esim-estero; homepage only frames the route.","current copy and Keyword Planner page-map","2026-07-27"
"/","planned:/esim-viaggio","esim viaggio","high","/","Historical blueprint may supply supporting language only.","Do not materialize /esim-viaggio without evidence of a distinct intent; merge the historical blueprint into homepage ownership.","research/keyword-planner/page-map.csv","2026-07-27"
"/confronti","/migliore-esim","confronto eSIM; migliore eSIM","high","/confronti for comparison hub; /migliore-esim for general decision query","Hub lists comparison types and links to the decision page.","Avoid best/migliore positioning on /confronti; avoid turning /migliore-esim into a directory of every comparison.","route definitions and published seed","2026-07-27"
"/guide","/esim-come-funziona","guide eSIM; come funziona eSIM","high","/guide for informational hub; /esim-come-funziona for the foundational answer","Hub summarizes the topic and links to the monographic guide.","Keep definition, requirements, installation and activation answer on /esim-come-funziona.","route definitions and Keyword Planner page-map","2026-07-27"
"/guide","/esim-telefoni-compatibili","guide eSIM; telefoni compatibili eSIM","high","/guide for informational hub; /esim-telefoni-compatibili for compatibility validation","Hub exposes compatibility as one category and links to the dedicated guide.","Keep model, market and operator-lock verification on /esim-telefoni-compatibili.","route definitions and Keyword Planner page-map","2026-07-27"
"/guide","/esim-estero","guide eSIM viaggio; eSIM estero","medium","/guide for problem discovery; /esim-estero for travel-plan selection","Guide hub links to the commercial planning guide.","Do not optimize /guide for esim estero; use category copy and contextual anchors only.","route definitions and Keyword Planner page-map","2026-07-27"
"/destinazioni","planned:/esim-usa","eSIM per destinazione; eSIM USA","high","/destinazioni for geographic discovery; /esim-usa for USA-specific intent","Hub lists the country page after publication.","Keep country-specific plans, conditions and direct answer on the country URL; hub remains generic.","route matrix and Keyword Planner page-map","2026-07-27"
"/destinazioni","planned:/esim-giappone","eSIM per destinazione; eSIM Giappone","high","/destinazioni for geographic discovery; /esim-giappone for Japan-specific intent","Hub lists the country page after publication.","Keep destination-specific evidence and recommendations on the country URL; no country keyword stuffing on the hub.","route matrix and Keyword Planner page-map","2026-07-27"
"/migliore-esim","planned:/airalo-vs-holafly","migliore eSIM; Airalo vs Holafly","medium","/migliore-esim for general choice; /airalo-vs-holafly for the direct pair comparison","General decision page may link to the pair comparison when published.","Keep provider-by-provider evidence and pair verdict on /airalo-vs-holafly; use only scenario references on /migliore-esim.","research/keyword-planner/page-map.csv","2026-07-27"
"/esim-telefoni-compatibili","planned:/esim-iphone","telefoni con eSIM; eSIM iPhone","medium","/esim-telefoni-compatibili for general validation; /esim-iphone for Apple-specific models","Compatibility hub links to manufacturer detail after publication.","Keep exact iPhone models and Apple procedures on /esim-iphone; general verification method remains on the hub.","research/keyword-planner/page-map.csv","2026-07-27"
"/esim-telefoni-compatibili","planned:/esim-samsung","telefoni con eSIM; eSIM Samsung","medium","/esim-telefoni-compatibili for general validation; /esim-samsung for Samsung-specific models","Compatibility hub links to manufacturer detail after publication.","Keep Galaxy model variants and Samsung procedures on /esim-samsung; general verification method remains on the hub.","research/keyword-planner/page-map.csv","2026-07-27"
