field_name,italy_local_observed,europe_regional_observed,current_d1_surface,mapping_decision,coverage_rule,notes
plan_type,"local/IT","regional/EUROPE",none,"new evidence field in observation/value_json","observed when explicitly classified by product surface","Do not infer from locale or currency"
destination_coverage,"local IT","regional aggregate count; partial/unknown country membership",none,"structured evidence field","partial may carry declaredCountryCount; unknown membership stays unknown","Do not duplicate regional plan per country"
price,"29 EUR; 30.5 EUR; 29 USD","44.5 EUR; 46.9 EUR; 29 USD","plans.price_eur; claim_verifications.value_json","store source-native amount+currency in evidence; map only after verification","observed only with explicit source currency/context","Never copy USD amount into price_eur"
data_gb,"Ubigi 50GB; unlimited plans not_applicable","Ubigi 25GB; unlimited plans not_applicable","plans.data_gb; claim_verifications.value_json","structured quantity+unit","not_applicable for unlimited SKU","Do not synthesize numeric cap"
unlimited_policy,"Airalo/Holafly true; Ubigi not_applicable","Airalo/Holafly true; Ubigi not_applicable","claim_verifications.value_json","structured field","observed or not_applicable","Unlimited label does not imply unlimited high-speed usage"
fair_use_policy,"Airalo exact; Holafly partial; Ubigi not_applicable","Airalo exact; Holafly partial; Ubigi not_applicable","claim_verifications.value_json","structured field","partial retains proven behavior and null unknown threshold","Keep threshold/post-threshold/recovery separate"
validity_days,"10d / 30d","15d / 30d","plans.validity_days; claim_verifications.value_json","duration+unit observation then verified current state","observed","Activation trigger is separate"
activation_policy,"Holafly observed; Ubigi observed; Airalo unknown","Holafly observed; Ubigi observed; Airalo unknown","plans.activation_policy; claim_verifications.value_json","structured field","unknown produces no factual candidate","Do not inherit provider-wide defaults"
hotspot_policy,"allowed across selected offers","allowed across selected offers","plans.hotspot_policy; claim_verifications.value_json","structured allowed boolean","observed only when same-scope source applies","Separate from share limit"
hotspot_share_limit,"Airalo no separate cap; Holafly 1GB/day; Ubigi unknown","Airalo no separate cap; Holafly 1GB/day; Ubigi unknown",none,"new structured evidence field","unknown never becomes zero/no-cap","Overall FUP linkage may be part of value"
network,"Airalo partial; Holafly operators; Ubigi unknown","regional unknown in live captures",plans.network_notes; claim_verifications.value_json,"structured operators or byCountry map","partial/unknown first-class","Never flatten regional operators without country attribution"
radio_technology,"Holafly observed; Ubigi observed/partial; Airalo unknown","Holafly observed; Ubigi partial; Airalo unknown",none,"new structured evidence field","qualifiers and partial preserved","Not a performance measurement"
voice_sms_included,"not core-emitted for all local offers","Holafly/Ubigi data-only observed; Airalo unknown",none,"new structured evidence field","unknown produces no factual candidate","VoIP apps over data are not native voice/SMS"
observed_performance,"not measured","not measured",none,"observation-only future protocol","unsupported until first-party protocol exists","Never derive from network or 5G label"
refund_policy,"not captured","not captured","claim_verifications.value_json","future structured verification field","scenario/effective-date scoped","Requires separate evidence scope"
device_compatibility,"scenario assumption only","scenario assumption only","claim_verifications.value_json","keep outside provider plan truth unless exact model/region proven","unknown in these packs","Carrier lock remains user state"
