query,avg_monthly_searches,competition,competition_index,demand_class,suggested_owner,funnel,source_period
sim virtuali estero,5000,Alta,100,travel-commercial,/esim-estero,MOFU,Google Keyword Planner IT 2025-07-01..2026-06-30
sim virtuale estero,5000,Alta,100,travel-commercial,/esim-estero,MOFU,Google Keyword Planner IT 2025-07-01..2026-06-30
migliori esim,5000,Alta,100,generic-comparison,/migliore-esim,BOFU,Google Keyword Planner IT 2025-07-01..2026-06-30
migliore esim,5000,Alta,100,generic-comparison,/migliore-esim,BOFU,Google Keyword Planner IT 2025-07-01..2026-06-30
holafly come funziona,5000,Alta,100,provider-explainer,/holafly-come-funziona,MOFU,Google Keyword Planner IT 2025-07-01..2026-06-30
holafly codice sconto,5000,Alta,100,transactional-provider,/codice-sconto-holafly,BOFU,Google Keyword Planner IT 2025-07-01..2026-06-30
esim usa,5000,Alta,100,destination,/esim-usa,BOFU,Google Keyword Planner IT 2025-07-01..2026-06-30
esim turchia,5000,Alta,100,destination,/esim-turchia,BOFU,Google Keyword Planner IT 2025-07-01..2026-06-30
esim thailandia,5000,Alta,100,destination,/esim-thailandia,BOFU,Google Keyword Planner IT 2025-07-01..2026-06-30
esim stati uniti,5000,Alta,100,destination,/esim-usa,BOFU,Google Keyword Planner IT 2025-07-01..2026-06-30
esim holafly,5000,Alta,100,provider-explainer,/holafly-come-funziona,MOFU,Google Keyword Planner IT 2025-07-01..2026-06-30
esim giappone,5000,Alta,100,destination,/esim-giappone,BOFU,Google Keyword Planner IT 2025-07-01..2026-06-30
esim estero,5000,Alta,100,travel-commercial,/esim-estero,MOFU,Google Keyword Planner IT 2025-07-01..2026-06-30
esim egitto,5000,Alta,100,destination,/esim-egitto,BOFU,Google Keyword Planner IT 2025-07-01..2026-06-30
esim albania,5000,Alta,100,destination,/esim-albania,BOFU,Google Keyword Planner IT 2025-07-01..2026-06-30
esim airalo,5000,Alta,100,provider-explainer,/airalo-come-funziona,MOFU,Google Keyword Planner IT 2025-07-01..2026-06-30
e sim svizzera,5000,Alta,100,destination,/esim-svizzera,BOFU,Google Keyword Planner IT 2025-07-01..2026-06-30
e sim egitto,5000,Alta,100,destination,/esim-egitto,BOFU,Google Keyword Planner IT 2025-07-01..2026-06-30
airalo recensioni,5000,Alta,100,provider-review,/airalo-recensioni,BOFU,Google Keyword Planner IT 2025-07-01..2026-06-30
airalo come funziona,5000,Alta,99,provider-explainer,/airalo-come-funziona,MOFU,Google Keyword Planner IT 2025-07-01..2026-06-30
codice sconto holafly,5000,Alta,94,transactional-provider,/codice-sconto-holafly,BOFU,Google Keyword Planner IT 2025-07-01..2026-06-30
ubigi recensioni,500,Alta,100,provider-review,/ubigi-recensioni,BOFU,Google Keyword Planner IT 2025-07-01..2026-06-30
migliori esim estero,500,Alta,100,generic-comparison,/migliore-esim,BOFU,Google Keyword Planner IT 2025-07-01..2026-06-30
holafly turchia,500,Alta,100,destination,/esim-turchia,BOFU,Google Keyword Planner IT 2025-07-01..2026-06-30
holafly giappone,500,Alta,100,destination,/esim-giappone,BOFU,Google Keyword Planner IT 2025-07-01..2026-06-30
holafly egitto,500,Alta,100,destination,/esim-egitto,BOFU,Google Keyword Planner IT 2025-07-01..2026-06-30
esim zanzibar,500,Alta,100,destination,/esim-zanzibar,BOFU,Google Keyword Planner IT 2025-07-01..2026-06-30
esim vodafone albania,500,Alta,100,destination,/esim-albania,BOFU,Google Keyword Planner IT 2025-07-01..2026-06-30
esim solo dati,500,Alta,100,data-plan-support,/esim-solo-dati,TOFU/MOFU,Google Keyword Planner IT 2025-07-01..2026-06-30
esim senza abbonamento,500,Alta,100,data-plan,/esim-senza-abbonamento,MOFU,Google Keyword Planner IT 2025-07-01..2026-06-30
esim repubblica dominicana,500,Alta,100,destination,/esim-repubblica-dominicana,BOFU,Google Keyword Planner IT 2025-07-01..2026-06-30
esim per usa,500,Alta,100,destination,/esim-usa,BOFU,Google Keyword Planner IT 2025-07-01..2026-06-30
esim per stati uniti,500,Alta,100,destination,/esim-usa,BOFU,Google Keyword Planner IT 2025-07-01..2026-06-30
esim per l estero,500,Alta,100,travel-commercial,/esim-estero,MOFU,Google Keyword Planner IT 2025-07-01..2026-06-30
esim per estero,500,Alta,100,travel-commercial,/esim-estero,MOFU,Google Keyword Planner IT 2025-07-01..2026-06-30
esim per egitto,500,Alta,100,destination,/esim-egitto,BOFU,Google Keyword Planner IT 2025-07-01..2026-06-30
esim oman,500,Alta,100,destination,/esim-oman,BOFU,Google Keyword Planner IT 2025-07-01..2026-06-30
