source_url,competing_url,overlapping_query,risk,designated_owner,supporting_role,resolution
/,/migliore-esim,"esim viaggio; migliore esim",high,"/ owns umbrella esim viaggio; /migliore-esim owns best-eSIM decision intent","Homepage routes commercial users to the decision page.","Remove best/winner-style copy from homepage; keep the explicit comparison decision on /migliore-esim."
/,/esim-europa,"esim viaggio; esim europa",medium,"/ owns generic travel eSIM; /esim-europa owns regional Europe intent","Homepage may feature Europe as a destination shortcut.","Do not answer Europe-specific coverage, duration or provider questions on homepage."
/destinazioni,/esim-europa,"esim per destinazione; esim europa",high,"/destinazioni owns geographic discovery; /esim-europa owns Europe regional decision","Hub lists Europe when published.","Keep regional plan evidence and comparison on /esim-europa."
/confronti,/migliore-esim,"confronto esim; migliore esim",high,"/confronti is directory/hub; /migliore-esim owns generic choice","Hub links to decision page.","No general provider ranking or long-form decision answer on /confronti."
/confronti,/airalo-vs-holafly,"confronti provider; airalo vs holafly",high,"/confronti owns comparison discovery; pair page owns direct brand-vs-brand intent","Hub exposes pair comparison only after publication.","Provider-specific matrix and bounded scenario result stay on /airalo-vs-holafly."
/migliore-esim,/airalo-vs-holafly,"migliore esim; airalo o holafly",medium,"/migliore-esim owns generic scenarios; /airalo-vs-holafly owns pair evaluation","Generic page can mention pair only as a route.","Do not reproduce full Airalo/Holafly comparison table on /migliore-esim."
/migliore-esim,/esim-europa,"migliore esim; migliore esim europa",high,"/migliore-esim owns generic choice; /esim-europa owns Europe-specific purchase decision","Generic page links multi-country Europe scenario to specialist.","Europe provider/plan facts and country coverage belong on /esim-europa."
/esim-estero,/esim-europa,"esim estero; esim europa",medium,"/esim-estero owns local-vs-regional-vs-global planning; /esim-europa owns Europe offer decision","Planning guide routes known-Europe users to specialist.","Do not make /esim-estero a Europe provider comparison."
/esim-europa,/airalo-vs-holafly,"airalo o holafly europa",medium,"/esim-europa owns region-first decision; /airalo-vs-holafly owns provider-pair comparison","Europe page may show bounded provider rows.","Pair-specific pros/cons across multiple scenarios stay on /airalo-vs-holafly; Europe page answers only Europe."
/airalo-recensioni,/airalo-come-funziona,"airalo recensioni; airalo come funziona",medium,"review page owns pros/cons/reliability intent; how-it-works page owns process/setup intent","Each links to the other.","Do not turn the how-it-works page into a review or sentiment page."
/holafly-recensioni,/holafly-come-funziona,"holafly recensioni; holafly come funziona",medium,"review page owns pros/cons/reliability; how-it-works owns process/setup","Mutual contextual links.","Separate facts/process from user sentiment."
/codice-sconto-holafly,/holafly-recensioni,"holafly sconto; holafly recensioni",low,"coupon page owns current discount intent; review page owns trust/evaluation","Coupon page may link to review before outbound purchase.","Do not optimize review page for coupon code or duplicate current codes there."
/esim-giga-illimitati,/migliore-esim,"migliore esim illimitata; esim giga illimitati",medium,"/esim-giga-illimitati owns unlimited/FUP problem; /migliore-esim owns broad decision","Generic page links heavy-data users to specialist.","FUP mechanics and unlimited claim depth stay on specialist page."
/esim-telefoni-compatibili,/esim-iphone,"telefoni con esim; esim iphone",high,"general compatibility page owns cross-brand verification; /esim-iphone owns Apple models/variants","General page links to manufacturer page.","Exact iPhone model/market detail belongs on /esim-iphone; no model-list duplication in general page."
