money_page,angle_id,hook,tension,evidence_fact_needed,twist,cta,format_candidate,creative_rule
/esim-europa,EU-01,"La eSIM è illimitata. Il tuo hotspot no.","Utente assume unlimited data = tethering illimitato","unlimited_policy + hotspot_policy + hotspot_share_limit","La voce più importante per chi lavora dal laptop può non essere il prezzo","Confronta hotspot e fair use prima di comprare",short-video-text+motion,"Battuta breve; poi fatto verificato; niente claim oltre evidence"
/esim-europa,EU-02,"41 Paesi. Ottimo. Ma ci sono i tuoi?","Aggregate country count viene letto come prova del proprio itinerario","destination_coverage + scenario-country membership","Un numero regionale non prova automaticamente ogni tappa","Controlla i Paesi del tuo viaggio",motion-map,"Visualizzare differenza fra aggregate count e membership reale"
/esim-europa,EU-03,"29 dollari contro 46,90 euro. Qual è più economica? Domanda sbagliata.","Confronto nominale di prezzo ignora dati, durata e hotspot","source-native price + data/unlimited + validity + hotspot","La risposta cambia con uso e durata; niente FX implicito","Confronta per il tuo viaggio, non per il numeretto",talking-head+cards,"No winner universale"
/esim-europa,EU-04,"Illimitata. Tranne quando non lo è.","Marketing unlimited nasconde FUP o speed reduction","fair_use_policy","Unlimited e piena velocità non sono sinonimi","Leggi il fair use prima del checkout",short-video-punchline,"Umorismo secco; subito dopo spiegazione seria"
/migliore-esim,ME-01,"La migliore eSIM non esiste.","Utente cerca un vincitore universale","scenario criteria + verified provider facts","Esiste la migliore per quel viaggio e quell'uso","Scegli per destinazione, giorni, dati e hotspot",talking-head,"Contrarian ma utile; non evasivo"
/migliore-esim,ME-02,"La più economica può costarti di più.","Piano economico può richiedere top-up o non adattarsi all'hotspot","price + allowance + validity + topup/share constraints","Costo reale dipende dall'uso","Confronta il piano con il tuo consumo",motion-cards,"Non inventare total cost senza formula/evidence"
/codice-sconto-holafly,HF-01,"Il codice sconto più caro? Quello scaduto.","Coupon content diventa obsoleto rapidamente","current official coupon + checked_at + expiry/applicability","Risparmiare 5% non serve se il codice non è più valido","Verifica il codice aggiornato prima di pagare",short-video-text,"Sempre mostrare checked_at"
/codice-sconto-holafly,HF-02,"5% o 10%? Dipende da cosa stai comprando.","Utente vede più coupon e non sa quale vale","coupon applicability short-trip vs monthly","Il codice migliore dipende dal prodotto","Controlla quale sconto si applica al tuo piano",screen-explainer,"No coupon inventati o non attribuiti"
/airalo-recensioni,AR-01,"Airalo funziona? La domanda è troppo grande.","Esperienze diverse per Paese/rete/piano vengono aggregate in un sì/no","official plan facts + attributed review scope","Una recensione globale non sostituisce il contesto del viaggio","Guarda il piano e la destinazione che userai",talking-head,"Separare facts da sentiment"
/airalo-recensioni,AR-02,"5 stelle. 1 stella. Stesso provider. Com'è possibile?","Review corpus polarizzato può dipendere da contesto e supporto","attributed review examples + plan/network context","La variabile nascosta può essere destinazione/rete/configurazione","Leggi cosa è successo, non solo il voto",split-screen,"Mai trasformare aneddoti in performance claim"
/esim-usa,US-01,"Atterri negli USA. Il roaming ha già prenotato la tua carta di credito.","Paura di costi roaming e bisogno di connessione immediata","destination plan price/validity/activation","Comprare prima di partire può ridurre il problema aeroporto","Confronta le eSIM USA prima del volo",short-sketch,"Ironia sul problema, non su persone/categorie"
/esim-usa,US-02,"USA: 5G scritto grande. Hotspot scritto piccolo.","Utente privilegia radio label e ignora tethering/limiti","radio_technology + hotspot policy/share limit","Per lavorare dal laptop la seconda voce può contare di più","Confronta rete, hotspot e limiti",motion-cards,"Technology != performance"
/esim-giappone,JP-01,"Tokyo non è il posto dove scoprire che hai installato male la eSIM.","Activation/setup uncertainty","activation policy + install guidance","Preparazione prima del volo riduce attrito all'arrivo","Controlla quando si attiva prima di partire",short-sketch,"No claim che l'attivazione sia uguale per tutti i provider"
/esim-egitto,EG-01,"La piramide è antica. Il roaming caro non dovrebbe esserlo.","Roaming pain vs destination connectivity","verified Egypt plans + price/validity","Confronto moderno per un problema banale","Vedi le opzioni eSIM per l'Egitto",text+travel-broll,"Punchline semplice; facts separati"
/esim-albania,AL-01,"Albania: la eSIM costa meno del panico all'atterraggio.","Arrivo senza dati per mappe/taxi","activation + destination coverage + price","Convenienza è anche ridurre l'attrito operativo","Scegli prima di partire",short-video,"No pricing unless freshly verified"
/airalo-vs-holafly,AVH-01,"Airalo o Holafly? Prima dimmi una cosa: fai hotspot?","Confronti generici ignorano use case","hotspot + FUP + price + data model","Una sola esigenza può cambiare la scelta","Confronta per scenario",dialogue-sketch,"Niente vincitore generale"
/airalo-vs-holafly,AVH-02,"Uno vende giga. L'altro vende tranquillità. Più o meno.","Finite-data vs unlimited positioning","data_gb/unlimited + FUP + price","Il modello commerciale cambia il tipo di ansia dell'utente","Guarda il confronto completo",talking-head,"La frase è hook; il corpo deve qualificare e verificare"
/esim-giga-illimitati,UNL-01,"Illimitato è una parola. Fair use è il contratto.","Headline vs conditions","unlimited label + FUP threshold/reduction","La seconda riga definisce l'esperienza reale","Confronta i limiti, non solo l'etichetta",text-motion,"Ottimo format ricorrente"
/esim-solo-dati,DATA-01,"eSIM solo dati: WhatsApp non muore.","Utente teme di perdere WhatsApp/numero","data-only behavior + neutral WhatsApp guidance","Dati mobili e numero WhatsApp sono concetti diversi","Scopri cosa resta attivo",screen-explainer,"Non promettere chiamate/SMS native"
/,HOME-01,"Non ti serve la migliore eSIM. Ti serve quella giusta prima di partire.","Homepage oggi parla troppo del processo interno","consumer decision criteria","Il prodotto è la decisione di viaggio, non il workflow editoriale","Dimmi dove vai",brand-video,"Hero social manifesto: consumer-first, niente backstage dev"
