field_key,provider,page_need,required_scope,coverage_status,evidence_source_key,registry_state,recommended_freshness_days,comparison_ready,blocking_reason,next_action
"destination_coverage","airalo","destination;migliore-esim;esim-estero","plan+destination+purchase_context","source_identified","candidate-airalo-italy-catalog","candidate_new",7,false,"No canonical snapshot yet; catalog is dynamic.","Capture exact Italy catalog/package context before comparison."
"destination_coverage","holafly","destination;migliore-esim;esim-estero","plan+destination+purchase_context","source_identified","candidate-holafly-italy-product","candidate_new",7,false,"No canonical snapshot yet.","Capture exact Italy product context."
"destination_coverage","ubigi","destination;migliore-esim;esim-estero","plan+destination+purchase_context","verified_snapshot","candidate-ubigi-italy-50gb-30d","covered_by_registered_commerce_source",7,true,"Verified only for one Italy 50GB/30d plan; not provider-wide.","Reuse PR #104 snapshot contract; do not generalize beyond captured plan."
"plan_type","airalo","esim-estero","plan+coverage_scope","source_identified","candidate-airalo-italy-catalog","candidate_new",14,false,"Model has no canonical plan_type field.","Keep local/regional/global as structured candidate only until schema decision."
"plan_type","holafly","esim-estero","plan+coverage_scope","partial_scope","candidate-holafly-italy-product","candidate_new",14,false,"Italy page proves destination plan but not a normalized local/regional/global taxonomy.","Add coverage-scope evidence before any normalized plan_type."
"plan_type","ubigi","esim-estero","plan+coverage_scope","partial_scope","candidate-ubigi-italy-50gb-30d","covered_by_registered_commerce_source",14,false,"One-off Italy plan is identified, but local/regional/global taxonomy is not canonical.","Treat product type and geographic scope separately."
"price","airalo","migliore-esim;destination;comparison","plan+destination+locale+currency+timestamp","source_identified","candidate-airalo-italy-catalog;candidate-airalo-italy-unlimited-10d","candidate_new",3,false,"Official Italy surface currently presents USD; no canonical snapshot or common-currency policy.","Snapshot exact package with currency context; do not write price_eur."
"price","holafly","migliore-esim;destination;comparison","plan+destination+locale+currency+timestamp","source_identified","candidate-holafly-italy-product","candidate_new",3,false,"Official Italy surface currently presents EUR but no canonical snapshot.","Snapshot exact duration/quantity selection and price context."
"price","ubigi","migliore-esim;destination;comparison","plan+destination+locale+currency+timestamp","verified_snapshot","candidate-ubigi-italy-50gb-30d","covered_by_registered_commerce_source",3,false,"Snapshot is USD while Holafly sample is EUR; cross-provider currency normalization is unresolved.","Preserve USD candidate; choose common capture currency or explicit FX derivation in a later decision."
"data_gb","airalo","migliore-esim;destination;comparison","exact_plan","source_identified","candidate-airalo-italy-catalog","candidate_new",7,false,"No canonical snapshot; catalog contains both fixed and unlimited products.","Capture one exact fixed-data package before field comparison."
"data_gb","holafly","migliore-esim;destination;comparison","exact_plan","not_applicable_sample","candidate-holafly-italy-product","candidate_new",7,false,"Current Italy sample is unlimited; a numeric GB value would be false.","Represent unlimited separately; do not synthesize data_gb."
"data_gb","ubigi","migliore-esim;destination;comparison","exact_plan","verified_snapshot","candidate-ubigi-italy-50gb-30d","covered_by_registered_commerce_source",7,true,"Verified only for the captured plan.","Keep scoped to Italy 50GB/30d."
