source_url,target_url,status,anchor_target,purpose,placement,priority,guardrail
"/","/destinazioni","existing","eSIM per destinazione","Move users from umbrella intent to geographic discovery.","primary route card and contextual body link","P0","Do not enumerate unpublished country pages."
"/","/guide","existing","guide pratiche sulle eSIM","Move informational users to the guide hub.","primary route card and contextual body link","P0","Do not duplicate monographic answers on the homepage."
"/","/confronti","existing","confronti eSIM e provider","Move evaluation users to the comparison hub.","primary route card and contextual body link","P0","Avoid best/migliore anchor language for the hub."
"/","/migliore-esim","existing","come scegliere la migliore eSIM","Send high-intent users to the general decision page.","featured guide or decision section","P0","The homepage must not reproduce the full decision framework."
"/","/esim-come-funziona","existing","come funziona una eSIM","Answer foundational uncertainty before commercial evaluation.","featured guides","P1","Use one descriptive link; avoid repeated exact-match anchors."
"/","/esim-estero","existing","come scegliere una eSIM per l'estero","Support itinerary planning.","featured guides or travel planning section","P1","Keep local-regional-global detail on the target page."
"/","/esim-telefoni-compatibili","existing","verifica i telefoni compatibili con eSIM","Validate device compatibility before choosing a plan.","decision checklist","P1","Do not list device models on the homepage."
"/destinazioni","/","existing","Senza Roaming","Return to the umbrella navigation.","breadcrumb","P1","Brand or natural anchor only."
"/destinazioni","/esim-estero","existing","scegliere una eSIM per l'estero","Help users who know the itinerary but not the plan type.","introductory guidance","P0","Do not target individual country terms with this link."
"/destinazioni","/esim-telefoni-compatibili","existing","controlla la compatibilità del telefono","Complete a prerequisite before destination selection.","pre-selection checklist","P1","Keep compatibility details on the target page."
"/guide","/esim-come-funziona","existing","come funziona una eSIM","Route the foundational informational intent.","fundamentals cluster","P0","Dedicated page owns the full answer."
"/guide","/esim-telefoni-compatibili","existing","telefoni compatibili con eSIM","Route compatibility validation.","compatibility cluster","P0","Dedicated page owns model verification."
"/guide","/esim-estero","existing","eSIM per l'estero","Route travel-plan selection.","travel cluster","P0","Use as a commercial guide, not a generic best page."
"/guide","/migliore-esim","existing","criteri per scegliere la migliore eSIM","Move from learning to evaluation.","next-step section","P1","Do not imply a fixed winner."
"/confronti","/migliore-esim","existing","migliore eSIM per viaggiare","Route the general decision query from the comparison hub.","featured comparison","P0","The hub remains a directory and criteria overview."
"/confronti","/esim-estero","existing","confrontare piani per l'estero","Connect comparison criteria to itinerary planning.","contextual criteria section","P1","Do not replace the target page's local-regional-global framework."
"/migliore-esim","/destinazioni","existing","scegli la destinazione","Move users to country-specific evidence.","decision flow","P0","Link only to the hub until a specific country page is published."
"/migliore-esim","/esim-estero","existing","scegliere il tipo di piano per l'estero","Explain local, regional and global plan selection.","criteria section","P0","Do not duplicate the complete itinerary guide."
"/migliore-esim","/esim-telefoni-compatibili","existing","verifica se il telefono supporta eSIM","Validate a hard prerequisite.","criteria checklist","P0","Compatibility page owns device-specific detail."
"/migliore-esim","/confronti","existing","vedi tutti i confronti eSIM","Expose specific comparisons from the general decision page.","related comparisons","P1","Avoid circular exact-match anchors."
"/esim-estero","/destinazioni","existing","trova la guida per la tua destinazione","Move known-destination users to the geographic hub.","itinerary section","P0","No links to unpublished country routes."
"/esim-estero","/esim-telefoni-compatibili","existing","controlla il telefono prima di acquistare","Validate compatibility before plan purchase.","checklist","P0","Keep device details on the target page."
"/esim-estero","/migliore-esim","existing","criteri per confrontare le eSIM","Move users to the general evaluation framework.","next-step section","P1","Use criteria language, not a winner claim."
"/esim-come-funziona","/esim-telefoni-compatibili","existing","verifica la compatibilità del modello","Continue from concept to device validation.","requirements section","P0","Do not duplicate model lists."
"/esim-come-funziona","/esim-estero","existing","prepara una eSIM per l'estero","Continue from mechanics to travel planning.","next-step section","P1","Keep commercial comparison outside the foundational answer."
"/esim-telefoni-compatibili","/esim-come-funziona","existing","capisci come funziona una eSIM","Return users who need the foundational explanation.","intro or FAQ","P1","Avoid reciprocal links with identical repeated anchors."
"/esim-telefoni-compatibili","/migliore-esim","existing","scegli una eSIM dopo la verifica","Continue from prerequisite to evaluation.","final next step","P1","Do not imply compatibility guarantees plan quality."
