source_url,target_url,link_role,anchor_direction,when_to_render,why
/,/migliore-esim,primary commercial path,"Confronta le eSIM per il tuo viaggio",always when target published,"Homepage should send commercial-intent users to the existing decision page instead of primarily to method/trust."
/,/esim-europa,destination/regional money path,"eSIM per l'Europa",only when target published,"Promote a verified regional money page from a high-authority entry surface."
/,/destinazioni,hub navigation,"Scegli la destinazione",always,"Primary consumer action from homepage."
/,/guide,problem navigation,"Risolvi un dubbio pratico",always,"Preserve informational path without dominating commercial journey."
/,/confronti,comparison navigation,"Confronta provider e piani",always,"Commercial investigation route from homepage."
/destinazioni,/esim-europa,regional destination target,"Europa",only when target published,"Regional itinerary path should be discoverable from geographic hub."
/confronti,/migliore-esim,generic decision target,"Come scegliere la migliore eSIM",always when target published,"Comparison hub should hand off generic evaluation intent to the owner page."
/confronti,/airalo-vs-holafly,direct provider comparison,"Airalo vs Holafly",only when target published,"High-conversion comparison should receive hub authority once evidence-backed."
/migliore-esim,/esim-europa,scenario specialization,"Viaggio multi-Paese in Europa",only when target published,"Generic decision page should route regional intent to specialist evidence."
/migliore-esim,/esim-giga-illimitati,problem specialization,"Dati illimitati e fair use",only when target published,"Separate unlimited/FUP depth from generic decision page."
/migliore-esim,/esim-estero,planning support,"Come scegliere una eSIM per l'estero",always when target published,"Broad planning support without cannibalizing best-eSIM intent."
/migliore-esim,/esim-telefoni-compatibili,pre-purchase validation,"Verifica se il telefono supporta eSIM",always when target published,"Compatibility is a conversion blocker and should be resolved before purchase."
/esim-europa,/migliore-esim,parent decision context,"Come confrontiamo le eSIM",always when target published,"Regional page can link back to generic criteria without duplicating the entire page."
/esim-europa,/esim-giga-illimitati,deep dive,"Cosa significa davvero dati illimitati",only when target published,"FUP/unlimited needs a reusable specialist explanation."
/esim-europa,/esim-telefoni-compatibili,pre-purchase validation,"Controlla il tuo telefono",always when target published,"Prevent purchase before compatibility check."
/esim-europa,/airalo-vs-holafly,provider comparison,"Airalo o Holafly?",only when target published,"Direct comparison is a natural next step for users evaluating two brands."
/esim-estero,/esim-europa,regional specialization,"eSIM per l'Europa",only when target published,"Broad foreign-travel guide should distribute known-region intent."
/airalo-recensioni,/airalo-come-funziona,provider support,"Come funziona Airalo",only when target published,"Separate product process explanation from review/sentiment intent."
/airalo-come-funziona,/airalo-recensioni,commercial validation,"Recensione Airalo",only when target published,"Users who understand the process may next seek reliability/pros-cons."
/codice-sconto-holafly,/holafly-recensioni,pre-purchase trust,"Recensione Holafly",only when target published,"Transactional coupon users may need a trust check before clicking out."
/holafly-recensioni,/codice-sconto-holafly,transactional handoff,"Codice sconto Holafly",only when coupon page is fresh and published,"Review page can hand off purchase intent only when coupon facts are current."
